X (meters),Y (meters),Wall Info
89653.9564,43131.2322,Right
89653.3504,43127.8006,Right
89660.3701,43128.8083,Left
89660.509,43124.861,Left
89649.4596,43124.3081,Right
89648.6402,43116.6203,Left
89638.2856,43126.8253,Right
89633.442,43121.0013,Left
89616.1222,43160.9913,Right
89609.1719,43158.4288,Left
89618.9245,43162.9003,Right
89624.661,43167.9154,Left
89637.0119,43134.567,Right
89640.9988,43140.2507,Left
89650.8192,43143.8134,Right
89644.4062,43141.7313,Left
89629.9816,43175.8219,Right
89626.2314,43170.7337,Left
89623.2461,43178.4697,Right
89615.7061,43178.1937,Left
89628.8911,43185.3714,Right
89643.9383,43183.9614,Left
89669.79,43150.4041,Right
89663.6775,43143.8038,Left
89653.3098,43142.7365,Right
89659.7516,43142.2478,Left
89616.8206,43171.1074,Left
89610.8274,43167.8585,Left
89618.9163,43173.7253,Left
89616.6346,43186.1062,Left
89625.7822,43192.448,Left
89660.3646,43193.0885,Left
89669.3037,43180.8989,Left
89659.391,43165.8863,Left
89670.4846,43174.9868,Left
89684.0022,43161.5253,Left
89663.1231,43173.9713,Left
89649.3881,43169.6665,Left
89658.736,43162.6983,Left
89648.7938,43166.5202,Left
89681.8206,43150.0873,Left
89675.9032,43144.9979,Left
89672.756,43143.0433,Left
89644.6201,43132.2912,Right
89650.7166,43136.9982,Right
89656.837,43183.8298,Right
89651.7407,43176.4758,Right
89644.6113,43175.4674,Right
89640.5294,43167.6824,Right
89644.6194,43160.5758,Right
89659.3758,43155.451,Right
89665.2694,43158.3759,Right
89660.0042,43181.0438,Right
89640.1858,43176.9552,Right
89635.0373,43178.7556,Right
89668.8152,43167.8499,Right
89677.318,43156.4384,Right
89661.4996,43151.3004,Right
89655.1571,43147.332,Right
89608.7082,43163.4473,Left
89609.3983,43165.7638,Left
89608.6178,43160.7543,Left
89613.0761,43169.7506,Left
89611.5567,43168.6561,Left
89614.948,43170.662,Left
89620.6261,43170.8405,Left
89618.6839,43171.0665,Left
89622.8698,43169.6271,Left
89643.3838,43139.6895,Left
89642.0497,43139.5746,Left
89644.243,43140.5118,Left
89622.2369,43172.6977,Left
89620.0666,43173.2895,Left
89624.4204,43172.2514,Left
89616.7898,43175.3694,Left
89617.7204,43174.4321,Left
89615.8315,43176.9419,Left
89615.1214,43182.0483,Left
89615.211,43179.6199,Left
89615.4236,43184.2022,Left
89621.1338,43189.7129,Left
89618.559,43187.7891,Left
89623.4225,43191.2812,Left
89636.8337,43188.9262,Left
89631.3612,43192.7221,Left
89640.2247,43184.051,Left
89628.2198,43193.0578,Left
89634.0403,43191.5841,Left
89638.6675,43186.2065,Left
89641.7903,43183.6069,Left
89645.2942,43184.7449,Left
89653.5262,43190.2358,Left
89655.97,43191.7475,Left
89646.1357,43185.4751,Left
89666.1477,43187.5895,Left
89663.777,43191.1219,Left
89668.7383,43183.2955,Left
89666.6932,43176.3842,Left
89668.4758,43178.5936,Left
89664.8966,43175.0495,Left
89656.1405,43170.5074,Left
89651.9605,43170.1154,Left
89659.7796,43172.0639,Left
89648.2161,43168.3662,Left
89648.3945,43168.9263,Left
89648.4254,43167.0006,Left
89653.9062,43164.5645,Left
89650.2761,43166.0865,Left
89657.1297,43163.3433,Left
89660.394,43164.0571,Left
89659.9404,43163.2324,Left
89660.1458,43165.1604,Left
89663.9832,43172.9778,Left
89660.2621,43170.5582,Left
89666.8255,43174.5763,Left
89679.5421,43166.7244,Left
89676.8209,43170.8638,Left
89680.5082,43165.0225,Left
89674.6563,43173.7688,Left
89681.8259,43163.652,Left
89678.3134,43168.6208,Left
89683.0701,43154.007,Left
89683.8264,43157.5561,Left
89682.8347,43152.2419,Left
89677.4351,43146.0771,Left
89680.0499,43147.6771,Left
89674.0053,43143.8322,Left
89667.9486,43143.1366,Left
89665.1887,43143.5675,Left
89671.2396,43142.7811,Left
89661.2736,43143.89,Left
89660.3275,43143.1685,Left
89662.3924,43144.0087,Left
89659.2436,43135.4418,Left
89659.8483,43132.6161,Left
89659.1412,43138.9532,Left
89616.8087,43162.994,Right
89616.2023,43161.9083,Right
89617.7219,43163.3925,Right
89640.9818,43132.1948,Right
89638.6194,43133.1028,Right
89642.6935,43132.0076,Right
89648.6004,43134.2552,Right
89646.4288,43132.8356,Right
89649.7512,43135.4102,Right
89651.4947,43141.2668,Right
89651.2648,43138.8675,Right
89651.299,43142.4608,Right
89625.8814,43176.7497,Right
89624.4684,43177.2022,Right
89628.2214,43176.7419,Right
89624.2271,43182.3886,Right
89622.9749,43180.3974,Right
89626.7122,43183.9357,Right
89632.5493,43182.138,Right
89631.4828,43184.3341,Right
89633.3825,43180.5095,Right
89637.4866,43177.4448,Right
89648.9592,43178.4857,Right
89644.4725,43177.2961,Right
89653.4728,43181.0823,Right
89659.8638,43183.4191,Right
89658.432,43184.3555,Right
89660.2033,43182.2931,Right
89656.1372,43178.6837,Right
89658.8994,43180.1271,Right
89654.3098,43177.4369,Right
89648.324,43176.1008,Right
89649.5091,43176.2117,Right
89646.7063,43175.9769,Right
89641.5739,43172.3986,Right
89643.0496,43174.366,Right
89640.7591,43169.9325,Right
89641.9595,43163.2508,Right
89641.0803,43164.93,Right
89643.1937,43161.5376,Right
89652.7415,43156.9719,Right
89649.1205,43158.6549,Right
89655.3875,43156.0205,Right
89662.5105,43156.3568,Right
89667.1722,43161.7026,Right
89667.2341,43165.6394,Right
89671.6148,43166.3055,Right
89675.4283,43159.6614,Right
89673.3494,43162.9882,Right
89674.0935,43152.6992,Right
89672.1663,43151.2759,Right
89676.2679,43154.0152,Right
89665.3352,43150.6776,Right
89667.5324,43150.2179,Right
89663.4154,43151.1176,Right
89657.9082,43149.5466,Right
89656.3941,43148.5535,Right
89659.3241,43150.3921,Right
89654.0865,43145.5133,Right
89651.7781,43125.7834,Right
89653.8787,43129.4623,Right
89652.6234,43126.7927,Right
89623.9906,43168.7676,Left
89621.8027,43170.434,Left
89625.8452,43166.278,Left
89625.2363,43166.9971,Left
89626.609,43165.0964,Left
89628.198,43162.6579,Left
89630.1101,43159.3518,Left
89631.8708,43156.5609,Left
89632.7446,43154.8708,Left
89634.2035,43151.9188,Left
89635.1363,43150.1666,Left
89636.5526,43147.4433,Left
89637.7706,43145.3369,Left
89639.107,43143.3702,Left
89640.0539,43141.7317,Left
89644.0019,43142.9138,Left
89643.5217,43143.4071,Left
89641.5146,43139.8433,Left
89642.7755,43139.4799,Left
89643.9278,43140.0376,Left
89644.4628,43141.126,Left
89644.3389,43142.2204,Left
89640.4955,43140.964,Left
89641.0041,43147.3997,Left
89639.2145,43150.2198,Left
89637.7965,43152.4543,Left
89636.1482,43155.1608,Left
89633.6975,43159.0956,Left
89632.1731,43161.4962,Left
89630.0059,43164.9127,Left
89628.6271,43166.9955,Left
89627.6712,43168.5019,Left
89626.7475,43169.8657,Left
89625.2216,43171.7142,Left
89623.5145,43172.5176,Left
89624.8231,43172.0644,Left
89625.719,43171.3258,Left
89623.8897,43172.4316,Left
89623.1116,43172.5858,Left
89621.159,43172.9555,Left
89618.1549,43174.1703,Left
89616.3277,43176.0388,Left
89617.2125,43174.8405,Left
89615.8286,43177.4315,Left
89615.5284,43178.9175,Left
89615.0056,43181.4494,Left
89614.9631,43180.8934,Left
89615.0135,43180.2362,Left
89615.2238,43183.075,Left
89615.8862,43185.0883,Left
89626.8558,43192.8391,Left
89624.7226,43191.9947,Left
89630.0291,43192.8845,Left
89632.6624,43192.2525,Left
89635.7035,43190.2864,Left
89637.6644,43187.7107,Left
89639.168,43185.3125,Left
89640.7171,43183.8212,Left
89642.6806,43183.6971,Left
89644.5669,43184.2767,Left
89639.7611,43184.5182,Left
89647.858,43186.5845,Left
89651.2097,43188.7436,Left
89657.0868,43192.5939,Left
89658.4252,43193.0886,Left
89661.6473,43192.8586,Left
89662.8409,43192.2026,Left
89664.8473,43189.5674,Left
89667.5855,43185.3017,Left
89669.1966,43182.0251,Left
89668.9775,43179.6604,Left
89667.8359,43177.6633,Left
89665.8224,43175.736,Left
89661.5168,43173.0549,Left
89658.0359,43171.2174,Left
89653.3362,43170.2091,Left
89654.6598,43170.3871,Left
89650.3033,43169.9097,Left
89648.8065,43169.4152,Left
89648.2791,43167.5057,Left
89649.3849,43166.2975,Left
89652.123,43165.2829,Left
89655.0878,43164.2446,Left
89655.9399,43163.8989,Left
89657.8998,43162.9551,Left
89659.3699,43162.8238,Left
89660.2126,43163.6576,Left
89660.4521,43164.5047,Left
89659.69,43165.5358,Left
89658.6024,43168.7477,Left
89658.6559,43167.5912,Left
89658.9419,43169.5865,Left
89659.7037,43170.1248,Left
89659.0692,43166.5817,Left
89662.4456,43171.978,Left
89665.2192,43173.6729,Left
89667.7605,43174.9379,Left
89668.9721,43175.1022,Left
89672.1248,43174.7032,Left
89673.3198,43174.2896,Left
89675.5438,43172.8683,Left
89676.0763,43172.0263,Left
89681.2179,43164.2844,Left
89680.0287,43165.8671,Left
89682.4867,43163.0481,Left
89683.2816,43162.3216,Left
89684.0255,43158.9619,Left
89684.212,43160.6316,Left
89683.5039,43155.8422,Left
89682.2932,43150.9922,Left
89680.9112,43148.7894,Left
89679.0699,43146.9667,Left
89673.444,43143.4224,Left
89669.7397,43142.8532,Left
89660.6921,43143.5861,Left
89660.0023,43142.8106,Left
89661.7551,43143.9662,Left
89663.1296,43143.8912,Left
89660.442,43126.7651,Left
89654.8228,43118.9633,Left
89651.7867,43117.1286,Left
89657.4947,43120.579,Left
89659.6648,43122.514,Left
89653.6845,43118.346,Left
89650.5747,43116.1152,Left
89655.9215,43119.5709,Left
89652.6039,43117.7103,Left
89660.1988,43123.595,Left
89658.7661,43121.4686,Left
89649.6781,43116.4009,Left
89651.092,43116.6193,Left
89646.905,43116.9241,Left
89641.9709,43118.1512,Left
89636.5698,43119.4091,Left
89640.2995,43118.6342,Left
89644.8733,43117.4979,Left
89638.758,43118.824,Left
89634.7101,43120.1619,Left
89632.1859,43122.15,Left
89631.0758,43123.4905,Left
89629.9659,43125.3204,Left
89628.6648,43127.4672,Left
89627.0138,43130.0758,Left
89625.1193,43132.9462,Left
89623.1689,43135.706,Left
89621.8171,43137.6276,Left
89620.5968,43139.9483,Left
89618.4066,43143.7031,Left
89616.8951,43145.7975,Left
89615.0285,43148.7605,Left
89613.9542,43150.3328,Left
89612.989,43151.7986,Left
89612.216,43153.1456,Left
89611.7655,43154.0835,Left
89611.1437,43155.0962,Left
89610.1174,43156.728,Left
89609.6751,43157.5681,Left
89659.3509,43140.5404,Left
89659.1388,43137.3481,Left
89659.5928,43133.7704,Left
89660.2186,43130.774,Left
89653.8967,43132.294,Right
89653.7921,43134.1555,Right
89653.6814,43136.1246,Right
89653.5877,43137.7922,Right
89653.504,43139.2814,Right
89653.3844,43141.4091,Right
89651.0104,43125.0192,Right
89653.0692,43127.3652,Right
89653.9083,43130.1375,Right
89653.5785,43128.3257,Right
89648.4018,43124.1967,Right
89646.6225,43124.6077,Right
89641.9357,43125.6526,Right
89639.9908,43126.131,Right
89644.7728,43125.0822,Right
89636.975,43128.0381,Right
89635.7541,43129.9285,Right
89634.486,43131.8999,Right
89633.0198,43134.0843,Right
89631.6166,43136.3632,Right
89629.8394,43139.1876,Right
89627.3175,43143.1404,Right
89625.6871,43145.63,Right
89624.1793,43148.1448,Right
89622.5268,43150.6733,Right
89620.932,43153.3023,Right
89619.8883,43154.8726,Right
89618.5844,43156.9792,Right
89617.3398,43158.8336,Right
89616.8091,43159.7327,Right
89616.4142,43160.3714,Right
89616.0987,43161.472,Right
89616.4179,43162.5185,Right
89617.2936,43163.2341,Right
89618.3444,43163.2917,Right
89619.5085,43162.1521,Right
89619.9478,43161.3032,Right
89621.4884,43158.7363,Right
89622.8006,43156.6754,Right
89623.8707,43155.088,Right
89625.1528,43153.0821,Right
89626.0428,43151.6947,Right
89627.2611,43149.6704,Right
89628.3364,43147.9277,Right
89629.2543,43146.3973,Right
89630.0419,43145.1763,Right
89631.3545,43143.2051,Right
89632.0558,43141.8421,Right
89633.2635,43140.0345,Right
89634.076,43138.8212,Right
89635.4402,43136.6839,Right
89637.682,43133.8187,Right
89639.6575,43132.5327,Right
89649.9152,43145.4173,Right
89649.1198,43146.5621,Right
89648.1431,43148.3168,Right
89647.2313,43149.7982,Right
89646.2195,43151.4535,Right
89645.2248,43153.1926,Right
89643.7834,43155.1736,Right
89642.8271,43156.6122,Right
89641.4988,43158.7578,Right
89640.5454,43160.1753,Right
89639.0668,43162.4467,Right
89637.8795,43164.2705,Right
89636.6784,43166.0978,Right
89634.4376,43169.4958,Right
89633.5603,43170.4467,Right
89633.0506,43171.1076,Right
89631.5884,43173.3537,Right
89632.2352,43172.262,Right
89630.7291,43175.0429,Right
89631.2009,43174.1684,Right
89629.1185,43176.5069,Right
89627.2854,43176.766,Right
89625.1485,43176.9033,Right
89623.7455,43177.7997,Right
89622.9728,43179.1921,Right
89623.1393,43181.1134,Right
89623.5815,43181.9065,Right
89625.584,43183.2249,Right
89625.0005,43182.8473,Right
89627.3771,43184.4477,Right
89627.8234,43184.8649,Right
89628.2794,43185.1662,Right
89629.2731,43185.4585,Right
89629.9001,43185.4165,Right
89630.4754,43185.2478,Right
89631.0261,43184.8803,Right
89631.8121,43183.6561,Right
89632.1877,43182.9499,Right
89632.9211,43181.4004,Right
89634.0911,43179.534,Right
89635.6742,43178.2684,Right
89636.3359,43177.7929,Right
89638.6964,43177.0918,Right
89641.5741,43176.9475,Right
89642.9469,43177.0022,Right
89645.8257,43177.5679,Right
89647.4289,43178.0001,Right
89649.8766,43178.8669,Right
89651.0111,43179.4431,Right
89652.2678,43180.1871,Right
89654.5443,43181.9093,Right
89655.3275,43182.5667,Right
89656.0033,43183.1727,Right
89657.2729,43184.03,Right
89657.9012,43184.3307,Right
89658.7756,43184.2819,Right
89659.2423,43183.99,Right
89660.108,43182.8208,Right
89660.1525,43181.7532,Right
89659.4927,43180.4767,Right
89657.7105,43179.5059,Right
89656.9676,43179.1782,Right
89655.3219,43178.1274,Right
89652.9351,43176.8122,Right
89650.7344,43176.3329,Right
89645.6129,43175.8347,Right
89643.9452,43174.9976,Right
89640.7049,43166.2885,Right
89640.5702,43168.7164,Right
89642.3959,43162.4319,Right
89641.4382,43164.0589,Right
89657.431,43155.529,Right
89660.8999,43155.7623,Right
89663.9758,43157.1656,Right
89666.6089,43160.1524,Right
89667.4308,43162.5182,Right
89667.5275,43164.1154,Right
89667.3486,43166.8917,Right
89670.6436,43167.6556,Right
89667.218,43165.9535,Right
89667.7799,43167.3894,Right
89669.7514,43167.946,Right
89671.2798,43166.8853,Right
89670.1209,43167.837,Right
89670.97,43167.2669,Right
89667.2704,43166.3764,Right
89668.2276,43167.6945,Right
89667.3854,43164.7681,Right
89667.5768,43163.2919,Right
89671.7525,43165.6491,Right
89671.9593,43165.0588,Right
89672.5099,43164.0952,Right
89673.9186,43162.0332,Right
89674.7447,43160.797,Right
89675.9499,43158.9632,Right
89676.8708,43157.6753,Right
89677.1861,43155.6133,Right
89676.8862,43154.9251,Right
89675.5466,43153.5787,Right
89673.0694,43151.9429,Right
89670.8395,43150.7692,Right
89668.7183,43150.1087,Right
89677.1769,43156.9417,Right
89676.5794,43154.4365,Right
89674.8917,43153.1823,Right
89666.2977,43150.4528,Right
89664.4627,43150.9216,Right
89662.4436,43151.275,Right
89660.4017,43151.0475,Right
89653.566,43144.2369,Right
89654.5099,43146.3878,Right
89653.7478,43128.8131,Right
89650.1732,43124.5215,Right
89647.5372,43124.4318,Right
89657.1633,43130.0203,Centerline
89657.1682,43129.2555,Centerline
89657.1732,43128.4907,Centerline
89657.1782,43127.7259,Centerline
89657.1486,43126.9653,Centerline
89656.9619,43126.2248,Centerline
89656.6798,43125.5165,Centerline
89656.2883,43124.8641,Centerline
89655.8052,43124.2712,Centerline
89655.2345,43123.7721,Centerline
89654.6524,43123.2858,Centerline
89654.0626,43122.8105,Centerline
89653.4477,43122.3639,Centerline
89652.8198,43121.9376,Centerline
89652.1524,43121.5632,Centerline
89651.4827,43121.1973,Centerline
89650.8092,43120.8505,Centerline
89650.138,43120.5354,Centerline
89648.7755,43120.3695,Centerline
89648.0288,43120.5363,Centerline
89647.2762,43120.6752,Centerline
89646.5266,43120.8274,Centerline
89645.7882,43121.029,Centerline
89645.0498,43121.2305,Centerline
89644.3045,43121.4045,Centerline
89643.5564,43121.5663,Centerline
89642.8083,43121.7282,Centerline
89642.0663,43121.9138,Centerline
89641.3245,43122.0997,Centerline
89640.5685,43122.2156,Centerline
89639.8207,43122.3724,Centerline
89639.0799,43122.5647,Centerline
89638.3417,43122.7652,Centerline
89637.6266,43123.035,Centerline
89636.9212,43123.3303,Centerline
89636.2573,43123.7042,Centerline
89635.6296,43124.128,Centerline
89635.0658,43124.6458,Centerline
89634.5403,43125.2,Centerline
89634.0254,43125.7643,Centerline
89633.5244,43126.566,Centerline
89633.0234,43127.3678,Centerline
89632.5228,43128.1698,Centerline
89632.0227,43128.9721,Centerline
89631.5196,43129.7726,Centerline
89631.0051,43130.5657,Centerline
89630.4894,43131.3581,Centerline
89629.9716,43132.1491,Centerline
89629.4611,43132.9448,Centerline
89628.9521,43133.7415,Centerline
89628.4431,43134.5382,Centerline
89627.9201,43135.3255,Centerline
89627.3943,43136.1109,Centerline
89626.8685,43136.8963,Centerline
89626.3427,43137.6817,Centerline
89625.8154,43138.4662,Centerline
89625.2926,43139.2535,Centerline
89624.8202,43140.0716,Centerline
89624.3479,43140.8897,Centerline
89623.8668,43141.7029,Centerline
89623.3712,43142.5078,Centerline
89622.8752,43143.3124,Centerline
89622.3792,43144.1169,Centerline
89621.8872,43144.924,Centerline
89621.3656,43145.7115,Centerline
89620.8439,43146.4991,Centerline
89620.3319,43147.2933,Centerline
89619.8216,43148.0893,Centerline
89619.3114,43148.8852,Centerline
89618.8009,43149.681,Centerline
89618.2863,43150.4738,Centerline
89617.774,43151.2681,Centerline
89617.268,43152.0666,Centerline
89616.7644,43152.8665,Centerline
89616.2689,43153.6712,Centerline
89615.8032,43154.492,Centerline
89615.318,43155.3028,Centerline
89614.8193,43156.1061,Centerline
89614.3111,43156.9033,Centerline
89613.818,43157.7087,Centerline
89613.3242,43158.5142,Centerline
89612.9399,43159.3674,Centerline
89612.5918,43160.2339,Centerline
89612.3694,43161.1382,Centerline
89612.2535,43162.1325,Centerline
89612.3524,43163.1516,Centerline
89612.5014,43164.0742,Centerline
89612.7735,43164.7901,Centerline
89613.2438,43165.3971,Centerline
89613.8787,43166.1051,Centerline
89614.9534,43166.8627,Centerline
89615.9696,43167.1841,Centerline
89617.4165,43167.1614,Centerline
89619.7172,43166.6846,Centerline
89620.5313,43166.3457,Centerline
89621.3221,43165.7372,Centerline
89622.0832,43164.7404,Centerline
89623.3255,43162.7272,Centerline
89625.4888,43159.3975,Centerline
89626.0425,43158.6368,Centerline
89626.5516,43157.8408,Centerline
89627.0892,43157.0661,Centerline
89627.6027,43156.2737,Centerline
89628.1081,43155.4748,Centerline
89628.6226,43154.6815,Centerline
89629.1409,43153.8907,Centerline
89629.6511,43153.0951,Centerline
89630.1458,43152.2899,Centerline
89630.5999,43151.4609,Centerline
89631.069,43150.6408,Centerline
89631.5768,43149.8435,Centerline
89632.0911,43149.0502,Centerline
89632.6057,43148.2572,Centerline
89633.1069,43147.4563,Centerline
89633.5763,43146.6366,Centerline
89634.0424,43145.8153,Centerline
89634.5146,43144.9991,Centerline
89635.0018,43144.1932,Centerline
89635.4903,43143.388,Centerline
89636.0057,43142.6011,Centerline
89636.5568,43141.8486,Centerline
89637.1423,43141.1357,Centerline
89639.0982,43138.7338,Centerline
89641.2801,43137.1282,Centerline
89643.0392,43136.6151,Centerline
89644.6852,43136.5349,Centerline
89645.488,43136.899,Centerline
89646.2846,43137.2837,Centerline
89646.9648,43137.9185,Centerline
89647.3784,43138.7571,Centerline
89647.5426,43139.6392,Centerline
89647.4279,43140.4994,Centerline
89647.2468,43141.3183,Centerline
89647.0297,43142.1834,Centerline
89646.8057,43143.0499,Centerline
89646.5571,43143.9155,Centerline
89646.2185,43144.7781,Centerline
89645.8128,43145.6231,Centerline
89645.3787,43146.4572,Centerline
89644.8921,43147.2675,Centerline
89644.3989,43148.0737,Centerline
89643.8768,43148.8617,Centerline
89643.378,43149.6643,Centerline
89642.8997,43150.4796,Centerline
89642.4167,43151.2922,Centerline
89641.9231,43152.0987,Centerline
89641.4273,43152.9038,Centerline
89640.9307,43153.7083,Centerline
89640.4367,43154.5144,Centerline
89639.9512,43155.3256,Centerline
89639.4657,43156.1367,Centerline
89638.9357,43156.9191,Centerline
89638.4056,43157.7014,Centerline
89637.8793,43158.4865,Centerline
89637.3648,43159.2797,Centerline
89636.8542,43160.0753,Centerline
89636.3518,43160.8763,Centerline
89635.8488,43161.6769,Centerline
89635.3315,43162.4682,Centerline
89634.8068,43163.2548,Centerline
89634.2901,43164.0466,Centerline
89633.7792,43164.8421,Centerline
89633.2582,43165.631,Centerline
89632.7387,43166.4209,Centerline
89632.2296,43167.2164,Centerline
89631.635,43167.9423,Centerline
89630.9943,43168.6148,Centerline
89629.4998,43169.9181,Centerline
89628.2935,43171.3545,Centerline
89626.5292,43173.0098,Centerline
89623.9983,43174.2473,Centerline
89621.9297,43175.4803,Centerline
89619.9969,43176.855,Centerline
89619.2065,43178.433,Centerline
89618.9179,43180.1598,Centerline
89618.9218,43181.8013,Centerline
89618.9392,43182.3899,Centerline
89619.702,43183.8072,Centerline
89621.1847,43185.0469,Centerline
89622.707,43185.9815,Centerline
89623.4371,43186.5652,Centerline
89624.2335,43187.0731,Centerline
89625.0477,43187.5527,Centerline
89625.8786,43187.9985,Centerline
89626.7083,43188.4362,Centerline
89627.5252,43188.8582,Centerline
89628.4013,43189.1511,Centerline
89629.3296,43189.204,Centerline
89630.2642,43189.0827,Centerline
89631.1441,43188.8036,Centerline
89631.8833,43188.291,Centerline
89632.5431,43187.6984,Centerline
89633.1888,43187.0803,Centerline
89633.7746,43186.3721,Centerline
89634.3715,43185.6678,Centerline
89634.9301,43184.9129,Centerline
89635.5138,43184.1707,Centerline
89636.14,43183.4749,Centerline
89636.7702,43182.7858,Centerline
89637.4078,43182.1078,Centerline
89638.0774,43181.5314,Centerline
89638.7921,43180.9966,Centerline
89639.5769,43180.5376,Centerline
89640.4957,43180.3528,Centerline
89641.434,43180.305,Centerline
89642.3721,43180.3844,Centerline
89643.2932,43180.5409,Centerline
89644.1665,43180.8343,Centerline
89644.9925,43181.2316,Centerline
89645.8342,43181.6095,Centerline
89646.691,43181.9696,Centerline
89647.5415,43182.3562,Centerline
89648.391,43182.7465,Centerline
89649.236,43183.1519,Centerline
89650.0757,43183.5717,Centerline
89650.9035,43184.0221,Centerline
89651.7211,43184.4945,Centerline
89652.5268,43184.9886,Centerline
89653.3289,43185.4883,Centerline
89654.1117,43186.0171,Centerline
89654.8919,43186.5493,Centerline
89655.644,43187.1221,Centerline
89656.4228,43187.6392,Centerline
89657.2286,43188.0867,Centerline
89658.0757,43188.3659,Centerline
89658.9601,43188.5668,Centerline
89659.8689,43188.6122,Centerline
89660.731,43188.2746,Centerline
89661.4529,43187.6785,Centerline
89661.9725,43186.9068,Centerline
89662.279,43186.0541,Centerline
89662.4676,43185.2084,Centerline
89662.4274,43184.4793,Centerline
89662.3132,43183.8437,Centerline
89662.1853,43183.2152,Centerline
89662.0443,43182.6098,Centerline
89661.9249,43181.9574,Centerline
89661.8043,43181.2749,Centerline
89661.6849,43180.5904,Centerline
89661.4848,43179.9052,Centerline
89661.1923,43179.2382,Centerline
89660.7594,43178.6082,Centerline
89660.1949,43178.0259,Centerline
89659.5403,43177.5151,Centerline
89658.823,43177.0541,Centerline
89658.0594,43176.6292,Centerline
89657.281,43176.2202,Centerline
89656.4357,43175.8878,Centerline
89655.5915,43175.5403,Centerline
89654.7384,43175.1726,Centerline
89652.7455,43174.5447,Centerline
89650.1141,43173.5961,Centerline
89647.0898,43172.6874,Centerline
89644.7843,43170.6105,Centerline
89644.2435,43168.578,Centerline
89644.6767,43166.9768,Centerline
89645.4792,43165.1138,Centerline
89647.3975,43163.3207,Centerline
89648.2753,43162.9755,Centerline
89649.1434,43162.6012,Centerline
89650.0149,43162.235,Centerline
89650.8883,43161.8733,Centerline
89651.7752,43161.5518,Centerline
89652.6534,43161.2079,Centerline
89653.5146,43160.8188,Centerline
89654.3698,43160.4161,Centerline
89655.2325,43160.034,Centerline
89656.1255,43159.8373,Centerline
89657.2047,43159.7769,Centerline
89659.0365,43160.1497,Centerline
89661.3813,43160.7904,Centerline
89662.867,43162.9655,Centerline
89663.466,43163.9631,Centerline
89663.9743,43165.9976,Centerline
89663.9784,43167.6896,Centerline
89665.0187,43169.6735,Centerline
89666.5028,43170.7914,Centerline
89668.2133,43171.3762,Centerline
89669.9922,43171.5882,Centerline
89672.1775,43170.9887,Centerline
89672.9861,43170.1276,Centerline
89673.5856,43169.322,Centerline
89674.1917,43168.6281,Centerline
89674.717,43167.8445,Centerline
89675.1123,43167.0027,Centerline
89675.5566,43166.1751,Centerline
89676.054,43165.3729,Centerline
89676.5676,43164.5875,Centerline
89677.0607,43163.7885,Centerline
89677.6403,43163.0499,Centerline
89678.2357,43162.3228,Centerline
89678.8401,43161.6087,Centerline
89679.4395,43160.889,Centerline
89680.0268,43160.1536,Centerline
89680.3764,43159.3036,Centerline
89680.5458,43158.4253,Centerline
89680.6296,43157.5097,Centerline
89680.5045,43156.5766,Centerline
89680.2282,43155.6811,Centerline
89679.8786,43154.8238,Centerline
89679.3937,43154.0948,Centerline
89678.917,43153.3753,Centerline
89678.471,43152.6496,Centerline
89677.9659,43151.9133,Centerline
89677.4012,43151.1948,Centerline
89676.7786,43150.5344,Centerline
89676.0755,43149.9663,Centerline
89675.3568,43149.4168,Centerline
89674.3934,43148.5721,Centerline
89673.1457,43147.6599,Centerline
89672.253,43147.1235,Centerline
89670.7607,43146.8387,Centerline
89668.2756,43147.1937,Centerline
89665.5114,43147.696,Centerline
89663.6619,43147.9824,Centerline
89662.1313,43147.8744,Centerline
89659.954,43147.5727,Centerline
89658.0371,43146.3854,Centerline
89656.8673,43144.7213,Centerline
89656.0814,43142.0622,Centerline
89656.2877,43139.2568,Centerline
89656.526,43135.6436,Centerline
89656.6534,43134.7094,Centerline
89656.7864,43133.7764,Centerline
89656.9113,43132.8417,Centerline
89657.0348,43131.9067,Centerline
89657.0998,43130.9636,Centerline
